param_id,参数名(代码字段),中文含义,数据类型,字节数,单位,所属分组,读写
42,current_ki_d,d轴电流积分增益,f32,4,V/(A·s),电流环,RW
43,current_kp_q,q轴电流比例增益,f32,4,V/A,电流环,RW
44,current_ki_q,q轴电流积分增益,f32,4,V/(A·s),电流环,RW
45,current_integral_limit,电流积分限幅,f32,4,V,电流环,RW
46,decoupling_gain,DQ交叉解耦增益,f32,4,-,电流环,RW
47,deadtime_comp_v,死区补偿电压,f32,4,V,电流环,RW
48,pwm_max_duty,PWM最大占空比,f32,4,-,电流环,RW
49,current_bandwidth_hz,电流环带宽,f32,4,Hz,电流环,RW
50,current_filter_alpha,电流采样滤波系数,f32,4,-,电流环,RW
51,d_feedforward_gain,d轴前馈增益,f32,4,-,电流环,RW
52,q_feedforward_gain,q轴前馈增益,f32,4,-,电流环,RW
53,speed_kp,速度环比例增益,f32,4,A/(rad/s),位置速度环,RW
54,speed_ki,速度环积分增益,f32,4,A/rad,位置速度环,RW
55,speed_integral_limit,速度环积分限幅,f32,4,A,位置速度环,RW
56,velocity_ff_gain,速度前馈增益,f32,4,-,位置速度环,RW
57,accel_ff_gain,加速度前馈增益,f32,4,-,位置速度环,RW
58,position_kp,位置环比例增益,f32,4,Hz,位置速度环,RW
59,position_integral_limit,位置环积分限幅,f32,4,rad,位置速度环,RW
60,friction_coulomb,库仑摩擦力矩,f32,4,Nm,位置速度环,RW
61,friction_viscous,粘滞摩擦系数,f32,4,Nm/(rad/s),位置速度环,RW
62,notch_freq_hz,陷波滤波器频率,f32,4,Hz,位置速度环,RW
63,notch_width_hz,陷波滤波器带宽,f32,4,Hz,位置速度环,RW
64,notch_depth_db,陷波滤波器深度,f32,4,dB,位置速度环,RW
65,notch_enable,陷波滤波器使能,u8,1,bool,位置速度环,RW
66,speed_bandwidth_hz,速度环带宽,f32,4,Hz,位置速度环,RW
67,speed_filter_alpha,速度滤波系数,f32,4,-,位置速度环,RW
68,position_bandwidth_hz,位置环带宽,f32,4,Hz,位置速度环,RW
69,impedance_kp,阻抗位置刚度,f32,4,Nm/rad,阻抗控制,RW
70,impedance_kd,阻抗速度阻尼,f32,4,Nm/(rad/s),阻抗控制,RW
71,iq_max,最大输出电流,f32,4,A,阻抗控制,RW
72,thermal_resistance,电机热阻,f32,4,K/W,热模型,RW
73,thermal_time_const,热时间常数,f32,4,s,热模型,RW
74,derating_temp_start,降额起始温度,f32,4,℃,热模型,RW
75,protect_over_current,过流保护阈值,f32,4,A,保护,RW
76,protect_over_voltage,过压保护阈值,f32,4,V,保护,RW
77,protect_under_voltage,欠压保护阈值,f32,4,V,保护,RW
78,protect_over_speed,过速保护阈值,f32,4,rad/s,保护,RW
79,protect_over_temp,过温保护阈值,f32,4,℃,保护,RW
80,protect_under_temp,欠温保护阈值,f32,4,℃,保护,RW
81,protect_pos_error,位置跟随误差限制,i32,4,counts,保护,RW
82,protect_enable_mask,保护使能掩码,u32,4,位掩码,保护,RW

