故障码,故障来源,故障级别,故障名称,触发条件,处理方式,异常命名
0x5103,编码器 / 传感器,故障级,霍尔传感器错误,霍尔信号组合异常,立即停机，动态刹车,
0x5104,编码器 / 传感器,故障级,位置数据跳变,单周期位置跳变 > 10°,立即停机，动态刹车,
0x5105,编码器 / 传感器,故障级,编码器通讯中断,连续 10 帧无编码器数据,立即停机，动态刹车,
0x5106,编码器 / 传感器,故障级,力传感器故障,力传感器无输出或输出饱和,立即停机，动态刹车,
0x5201,编码器 / 传感器,异常级,多圈计数溢出,多圈计数器超出范围,重新标定零点,
0x5202,编码器 / 传感器,异常级,信号相位偏移,AB 相相位差偏离 90°±5°,降精度运行,
0x5203,编码器 / 传感器,异常级,零位偏移,零位偏差 > 0.5°,重新标定零点,
0x5204,编码器 / 传感器,异常级,编码器过热,编码器芯片温度 > 80℃,降功率至 70% 运行,
0x5205,编码器 / 传感器,异常级,力传感器过载,力值 > 120% 额定值,降功率至 50% 运行,
0x5301,编码器 / 传感器,警告级,分辨率降级,编码器信号信噪比下降,正常运行，记录日志,
0x5302,编码器 / 传感器,警告级,轻微零位偏移,零位偏差 > 0.1° 且 < 0.5°,正常运行，记录日志,
0x5303,编码器 / 传感器,警告级,编码器温度预警,编码器芯片温度 > 65℃,正常运行，提高采样频率,
0x6101,机械传动系统,故障级,减速器卡死,输出轴无法转动且电流饱和,立即停机，切断电源,
0x6102,机械传动系统,故障级,轴承损坏,振动加速度 > 20g,立即停机，切断电源,
0x6103,机械传动系统,故障级,齿轮断齿,扭矩波动系数 > 50%,立即停机，切断电源,
0x6201,机械传动系统,异常级,减速器回程间隙过大,回程间隙 > 6arcmin,降精度运行,
0x6202,机械传动系统,异常级,润滑脂老化,累计运行时间 > 2000 小时,提醒更换润滑脂,
0x6203,机械传动系统,异常级,紧固件松动,振动加速度 > 10g,降功率至 70% 运行,
0x6301,机械传动系统,警告级,减速器磨损预警,回程间隙 > 3arcmin,正常运行，记录日志,
0x6302,机械传动系统,警告级,振动异常,振动加速度 > 5g,正常运行，记录日志,
0x7101,抱闸 / 刹车系统,故障级,抱闸打开失败,抱闸指令发出后仍检测到制动扭矩,立即停机，切断电源,
0x7102,抱闸 / 刹车系统,故障级,抱闸闭合失败,抱闸指令发出后无制动扭矩,立即停机，切断电源,
0x7103,抱闸 / 刹车系统,故障级,抱闸过热,抱闸线圈温度 > 100℃,立即停机，切断电源,
0x7201,抱闸 / 刹车系统,异常级,抱闸磨损,抱闸间隙 > 设计最大值,提醒调整抱闸间隙,
0x7202,抱闸 / 刹车系统,异常级,抱闸电流异常,抱闸工作电流超出范围,降功率至 70% 运行,
0x7301,抱闸 / 刹车系统,警告级,抱闸寿命预警,抱闸动作次数 > 设计值 80%,正常运行，记录日志,
0x8101,软件与算法,故障级,看门狗超时,独立看门狗触发复位,系统复位,
0x8102,软件与算法,故障级,关键任务死锁,关键任务调度超时 > 100ms,系统复位,
0x8103,软件与算法,故障级,内存错误,内存访问越界或校验失败,系统复位,
0x8104,软件与算法,故障级,FLASH 错误,FLASH 读写或校验失败,系统复位,
0x8105,软件与算法,故障级,参数越界,控制参数超出安全范围,立即停机，动态刹车,
0x8106,软件与算法,故障级,回零错误,回零过程超时或失败,立即停机，动态刹车,
0x8107,软件与算法,故障级,固件校验错误,固件 CRC 校验失败,系统复位,
0x8108,软件与算法,故障级,跟随误差过大,位置跟随误差 > 5°,立即停机，动态刹车,
0x8109,软件与算法,故障级,未标定运行,电机未完成标定就尝试运行,禁止运行,
0x8201,软件与算法,异常级,轨迹规划超限,目标位置超出软限位,截断轨迹至安全范围,
0x8202,软件与算法,异常级,运行模式错误,非法的运行模式切换,保持当前安全模式,
0x8203,软件与算法,异常级,单位转换错误,单位转换计算失败,使用默认单位,
0x8204,软件与算法,异常级,非关键任务超时,非关键任务执行超时,重启该任务,
0x8205,软件与算法,异常级,算法发散,控制算法输出持续增大,降增益运行,
0x8301,软件与算法,警告级,算法收敛延迟,控制算法收敛时间 > 100ms,正常运行，记录日志,
0x8302,软件与算法,警告级,日志存储满,日志缓冲区已满,覆盖最早日志,
0x8303,软件与算法,警告级,参数漂移,参数值偏离出厂值 > 10%,正常运行，记录日志,
0x9101,通信系统,故障级,总线死锁,CAN 总线无法收发数据 > 1s,尝试总线复位，失败则进入安全模式,
0x9102,通信系统,故障级,主节点失联,连续 1s 无主节点心跳包,进入安全停机模式,
0x9103,通信系统,故障级,物理层损坏,总线电平持续异常,立即停机，切断电源,
0x9201,通信系统,异常级,总线过载,总线负载率 > 80%,降低非关键数据发送频率,
0x9202,通信系统,异常级,波特率失配,连续收到乱码数据 > 10 帧,重新协商波特率,
0x9203,通信系统,异常级,帧丢失,关键数据丢包率 > 5%,重发关键数据,
0x9301,通信系统,警告级,CRC 错误率上升,CRC 错误率 > 1%,正常运行，记录日志,
0x9302,通信系统,警告级,仲裁冲突频发,总线仲裁冲突 > 10 次 / 秒,正常运行，记录日志,
0x9303,通信系统,警告级,总线负载预警,总线负载率 > 60%,正常运行，记录日志,
0xA101,环境因素,故障级,过湿短路,相对湿度 > 95% 且绝缘电阻下降,立即停机，切断电源,
0xA102,环境因素,故障级,强电磁干扰,EMC 干扰导致数据错误率 > 50%,立即停机，切断电源,
0xA201,环境因素,异常级,气压异常,气压超出工作范围,降功率至 70% 运行,
0xA202,环境因素,异常级,环境过振,环境振动加速度 > 10g,降功率至 50% 运行,
0xA203,环境因素,异常级,环境温度过高,环境温度 > 50℃,降功率至 70% 运行,
0xA204,环境因素,异常级,环境温度过低,环境温度 < -10℃,预热后再运行,
0xA301,环境因素,警告级,轻度气压异常,气压接近工作范围边界,正常运行，记录日志,
0xA302,环境因素,警告级,环境温度预警,环境温度 > 40℃或 < 0℃,正常运行，提高采样频率,
